Part,Value,Device,Package,MANUFACTURER_PART_NUMBER,MFR_NAME
R21,100,ERJ-8ENF1000VRC1206N_PAN-L,RC1206N_PAN-L,ERJ-8ENF1000V,Panasonic
R22,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R25,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R26,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R27,100,ERJ-8ENF1000VRC1206N_PAN-L,RC1206N_PAN-L,ERJ-8ENF1000V,Panasonic
R28,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R29,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R30,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R31,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R32,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R33,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R34,100,ERJ-8ENF1000VRC1206N_PAN-L,RC1206N_PAN-L,ERJ-8ENF1000V,Panasonic
R35,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R36,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R37,100,ERJ-8ENF1000VRC1206N_PAN-L,RC1206N_PAN-L,ERJ-8ENF1000V,Panasonic
R38,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R39,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R40,100,ERJ-8ENF1000VRC1206N_PAN-L,RC1206N_PAN-L,ERJ-8ENF1000V,Panasonic
R41,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R42,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R43,100,ERJ-8ENF1000VRC1206N_PAN-L,RC1206N_PAN-L,ERJ-8ENF1000V,Panasonic
R44,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R45,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R46,100,ERJ-8ENF1000VRC1206N_PAN-L,RC1206N_PAN-L,ERJ-8ENF1000V,Panasonic
R47,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R56,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R57,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R58,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R59,330,RMCF1206JT330RSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT330R,Stackpole International
R60,130,RMCF0402FT130RSTA_RMCF0402_STP-L,STA_RMCF0402_STP-L,RMCF0402FT130R,Stackpole International
R61,2.2k,RMCF1206JT2K20STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206JT2K20,Stackpole International
R62,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R63,10k,RMCF1206FT10K0STA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT10K0,Stackpole International
R67,1M,RT1206BRD071MLRC1206N_YAG-L,RC1206N_YAG-L,RT1206BRD071ML,Yageo
R68,100k,RMCF1206FT100KSTA_RMCF1206_STP-L,STA_RMCF1206_STP-L,RMCF1206FT100K,Stackpole International
SW1,CHR_RBT,PTS636SL43SMTRLFSSW_PTS636S-J_CNK,SW_PTS636S-J_CNK,PTS636SL43SMTRLFS,C&K Components
U1,ESP32-DEVKITC-32E,ESP32-DEVKITC-32E,MODULE_ESP32-DEVKITC-32E,ESP32-DEVKITC-32E,Espressif Systems
U2,ISO7760FDWRDW0016B_HV,ISO7760FDWRDW0016B_HV,DW0016B_HV,ISO7760FDWR,Texas Instruments
U3,BQ25895RTWR,BQ25895RTWR,QFN50P400X400X80-25N,BQ25895RTWR,Texas Instruments
U4,MIC2876,MIC2876-5.0YMT-TRUDFN8_2X2_MCH-L,UDFN8_2X2_MCH-L,MIC2876-5.0YMT-TR,Microchip
U5,ISO7760FDWRDW0016B_HV,ISO7760FDWRDW0016B_HV,DW0016B_HV,ISO7760FDWR,Texas Instruments
U13,VM_PWR,SC189ZSKTRTSOT23-5-SC189_SEM-L,SOT23-5-SC189_SEM-L,SC189ZSKTRT,Semtech
