Part,Value,Device,Package,Description,BUTTON_ACTION,BUTTON_POWER,BUTTON_X,BUTTON_Y,CONNECTION_STATUS,COPYRIGHT,DATASHEET-URL,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,ELECTRO_INDEX,ELECTRO_MIDDLE,ELECTRO_PINKY,ELECTRO_RING,ELECTRO_THUMB,FLEX_INDEX,FLEX_MIDDLE,FLEX_PINKY,FLEX_RING,FLEX_THUMB,GENDER,HEIGHT,IR,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MFR_NAME,MIC2876,MOUNT,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,PACKAGING,PART-NUMBER,PARTREV,PINS,PITCH,POWER_STATUS,REFDES,ROWS,STANDARD,TYPE,VALUE,VIBRATOR_INDEX,VIBRATOR_MIDDLE,VIBRATOR_PINKY,VIBRATOR_RING,VIBRATOR_THUMB
CR11,VM_T_D,GS1M-LTPCR_GS1M-LTP_MCE-L,CR_GS1M-LTP_MCE-L,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,GS1M-LTP,,MCC,,,,,,,,,,,,,,,,,,,,
D1,PWR_ST_LED,WL-SMCW_0603,WL-SMCW_0603,"WL-SMCW SMT Mono-color Chip LED Waterclea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,CON_ST_LED,WL-SMCW_0805,WL-SMCW_0805,"WL-SMCW SMT Mono-color Chip LED Waterclea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,MF-NSML350_12-2,MF-NSML350_12-2,FUSC3216X140N,"Resettable Fuses - PPTC 3.5A 12V 1206 LOW-OHMIC",,,,,,,,"Resettable Fuses - PPTC 3.5A 12V 1206 LOW-OHMIC",,,,,,,,,,,,,,,1.4mm,,,Bourns,MF-NSML350/12-2,,,,,652-MF-NSML350/12-2,https://www.mouser.co.uk/ProductDetail/Bourns/MF-NSML350-12-2?qs=u16ybLDytRaRX65cJT5NUA%3D%3D,,,,,,,,,,,,,,,,
J1,BTR_IN,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J2,EL_P,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J3,EL_R,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J4,EL_M,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J5,EL_I,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
J6,EL_T,61300211121CONN_61300211121_WRE,CONN_61300211121_WRE,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,,,,,,,,,,,,,,61300211121,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
